"0 a 3 anos";"4 a 8 anos";"9 a 11 anos";"12 a 15 anos";"16 anos ou mais"
"(0,500]";14429020;20550166;9736737;11048499;797971
"(500,1000]";11655557;17022330;9183410;16923205;2387690
"(1000,2000]";5261244;11184860;6654969;18158323;5703451
"(2000,4000]";1321400;2973258;1881925;7678476;6757037
"(4000,6000]";227158;448330;301422;1605507;2832418
"(6000,8000]";109219;158845;116685;631547;1396361
"(8000,10000]";39562;56850;45325;222254;777636
"(10000,50000]";64378;86393;59999;321019;1495582
"(50000,208000]";397;64;0;924;19483
